trigo20,trigo45,trigo70
50.65,50.7,50.84
50.65,50.7,50.84
50.65,50.7,50.84
50.65,50.7,50.84
50.65,50.7,50.84
50.65,50.71,50.84
50.65,50.71,50.84
50.65,50.71,50.84
50.65,50.71,50.84
50.65,50.71,50.84
50.65,50.71,50.84
50.65,50.71,50.84
50.66,50.71,50.84
50.66,50.71,50.84
50.66,50.71,50.84
50.66,50.71,50.84
50.66,50.72,50.85
50.66,50.72,50.85
50.66,50.72,50.85
50.66,50.72,50.85
50.66,50.72,50.85
50.66,50.72,50.85
50.66,50.72,50.85
50.66,50.72,50.86
50.66,50.72,50.86
50.66,50.72,50.86
